State,City,Severity,count
CA,San Diego,Moderate,2757
MN,Albert Lea,Moderate,62
CA,Bakersfield,Severe,14
CA,San Dimas,Moderate,195
CA,West Covina,Moderate,265
CA,Vista,Moderate,251
VA,Henrico,High,45
IL,Downers Grove,Moderate,167
SC,York,Moderate,79
MT,Hysham,Moderate,1
CA,Orland,Moderate,42
GA,Zebulon,High,1
CA,Oxnard,Moderate,206
NJ,Little Falls,Moderate,24
LA,Convent,Moderate,1
IL,Vernon Hills,Moderate,49
CA,Oakdale,Moderate,91
MA,West Newton,Moderate,9
PA,Port Allegany,Moderate,2
CA,Truckee,High,11
SC,Summerton,Moderate,23
WA,Maple Valley,Moderate,10
FL,Loxahatchee,Moderate,8
MA,North Andover,Moderate,3
GA,Decatur,Severe,32
CT,Enfield,Moderate,15
NC,Mooresville,Moderate,53
OH,Ashville,Moderate,5
MN,Lake Lillian,Moderate,5
SC,North Augusta,High,23
IA,Monticello,High,1
OR,Wilsonville,High,17
CA,Rialto,Moderate,107
GA,Jenkinsburg,Moderate,4
IL,Raymond,High,4
VA,Buchanan,Severe,9
OR,Oakland,High,4
TN,Beechgrove,Moderate,2
AR,Mulberry,Moderate,5
VA,Ruckersville,Severe,5
TX,Farwell,Moderate,1
SC,Cowpens,Severe,6
NJ,Southampton,Severe,3
CA,Applegate,High,5
SC,Orangeburg,Low,3
ND,Thompson,Moderate,4
NC,Rose Hill,Moderate,3
GA,Griffin,Moderate,47
NJ,Lawnside,Moderate,14
CA,Irvine,High,183
MD,Bethesda,Moderate,209
CT,North Grosvenordale,Moderate,3
AZ,Flagstaff,Severe,10
PA,Monroeville,High,12
SC,Gaffney,Moderate,227
NY,Bellmore,Moderate,63
WI,Appleton,Moderate,14
CA,Santee,Moderate,12
MA,Reading,High,35
MD,Denton,Moderate,22
WA,Puyallup,Moderate,97
NY,Victor,Moderate,13
VA,Mount Sidney,Moderate,17
CA,Bodega Bay,Moderate,21
FL,Fort Walton Beach,Moderate,131
NE,Lincoln,Severe,2
AL,Fort Payne,Moderate,5
FL,Midway,High,6
FL,Ellenton,Moderate,62
OR,Neskowin,Moderate,16
CA,Fillmore,Severe,1
AL,Lincoln,High,4
NY,Bedford Hills,Moderate,5
WA,Rochester,Moderate,8
VA,Hillsville,Moderate,25
NJ,Bedminster,High,28
NC,Carthage,Moderate,6
AZ,Queen Creek,Moderate,10
PA,Brockway,Moderate,3
VA,Bracey,Moderate,7
MN,Loman,Moderate,2
TX,Hockley,Moderate,6
