Year,Month,Day,Hour,Severity,count
2016,9,3,10,High,21
2021,9,3,20,Moderate,18
2017,7,6,13,Moderate,26
2020,4,6,6,Moderate,39
2019,12,6,16,Moderate,58
2021,11,3,6,High,10
2021,8,6,12,Moderate,57
2018,9,3,15,Moderate,31
2016,6,3,18,High,4
2017,1,3,13,Moderate,23
2020,10,7,7,Moderate,37
2019,10,5,7,Moderate,123
2020,2,5,3,High,2
2019,11,4,5,High,10
2020,1,2,19,Moderate,19
2020,3,1,15,Moderate,18
2021,4,3,9,Moderate,40
2022,3,7,6,High,2
2022,4,4,18,Low,3
2018,1,3,18,Moderate,36
2022,4,6,21,Moderate,27
2017,10,3,17,Moderate,37
2021,6,6,1,Moderate,6
2020,5,7,15,High,6
2018,4,6,20,Moderate,15
2021,10,4,8,Moderate,103
2021,3,6,10,Moderate,31
2017,6,3,13,Moderate,20
2020,9,7,11,Moderate,14
2019,12,6,4,Moderate,17
2019,3,3,10,Moderate,30
2022,11,3,17,Moderate,98
2021,8,6,15,High,10
2018,7,4,8,Moderate,46
2020,3,5,4,High,4
2016,9,4,6,Moderate,25
2016,12,6,7,Severe,2
2018,9,6,21,High,6
2021,4,3,19,Moderate,17
2020,1,5,21,Severe,2
2021,8,4,16,Severe,1
2016,5,6,6,Moderate,2
2019,5,3,7,High,26
2019,6,5,11,Moderate,34
2019,10,6,23,Moderate,10
2021,6,1,18,High,5
2018,6,6,16,High,25
2018,5,5,12,High,10
2016,5,7,9,Moderate,2
2022,11,5,19,Moderate,32
2019,12,4,4,High,7
2020,2,1,13,High,7
2021,7,7,9,Moderate,26
2019,12,2,0,Moderate,5
2021,8,1,17,Moderate,33
2019,1,5,4,Moderate,19
2018,2,5,4,High,5
2021,7,5,19,Moderate,29
2022,9,6,2,Severe,1
2021,2,7,12,Moderate,29
2016,9,3,9,High,15
2022,4,4,4,Moderate,15
2017,10,5,18,Severe,1
2021,6,7,13,High,8
2019,11,3,14,High,15
2022,5,4,11,Severe,1
2019,10,7,6,Moderate,10
2020,6,1,14,High,7
2023,1,5,22,Severe,2
2022,3,4,1,Moderate,9
2019,10,6,23,High,3
2022,8,1,8,Severe,1
2017,2,7,13,Moderate,4
2019,4,5,0,Severe,4
2021,7,6,18,High,11
2019,11,1,9,Moderate,7
2017,11,6,13,Moderate,19
2016,9,5,14,High,10
2019,9,7,10,Moderate,12
2019,10,7,13,Moderate,23
2019,3,7,7,High,6
2018,8,7,16,Moderate,7
2016,5,2,10,Moderate,5
2019,9,3,1,Moderate,3
2021,7,5,5,High,2
2016,12,7,16,Moderate,8
2017,5,2,13,Moderate,16
2016,9,6,18,Moderate,23
2018,7,3,7,Moderate,56
2019,4,4,15,Moderate,36
2017,2,4,7,High,18
2016,11,3,9,Moderate,52
2019,11,1,2,Moderate,3
2018,6,3,13,High,10
2021,1,3,12,Moderate,21
2017,5,1,9,High,4
2022,3,4,0,Moderate,389
2018,11,3,17,Moderate,45
2017,9,3,9,Moderate,37
2017,9,1,15,Severe,3
2019,12,3,18,High,24
2017,10,4,18,Moderate,25
2021,11,4,23,Moderate,10
2017,12,6,9,Moderate,32
2022,9,4,17,Moderate,73
2018,2,1,23,High,3
2020,5,3,17,Low,10
2019,1,6,16,High,13
2019,3,7,21,Moderate,7
2018,9,4,16,High,18
2020,4,3,7,Low,8
2018,10,6,17,High,15
2020,6,5,6,Moderate,31
2020,3,6,17,Severe,4
2017,10,4,15,Moderate,39
2017,9,3,14,Moderate,37
2022,4,6,4,Moderate,18
2016,11,2,13,Moderate,24
2020,5,6,6,Moderate,30
2020,4,3,8,High,6
2022,12,4,17,Moderate,106
2022,5,3,13,Moderate,59
2019,5,1,21,Moderate,8
2016,6,3,14,Moderate,13
2021,4,2,9,Moderate,30
2022,6,1,15,Moderate,28
2020,11,1,2,Moderate,44
2019,4,2,13,High,12
2020,12,7,21,Moderate,44
2019,10,2,10,Moderate,31
2018,9,6,11,Moderate,37
2020,11,7,2,Moderate,83
2017,12,5,10,Moderate,22
2022,3,6,4,Moderate,30
2016,12,5,14,High,15
2020,3,7,1,Moderate,6
2019,12,7,3,Moderate,6
2021,8,3,7,High,7
2021,9,1,14,Moderate,37
2021,6,1,0,Severe,4
2016,9,1,14,Moderate,10
2019,4,4,8,Severe,1
2020,11,5,3,Severe,3
2018,6,6,8,High,27
2019,5,3,17,Severe,3
2017,7,6,12,Moderate,25
2022,8,2,11,Moderate,25
2020,11,3,17,Moderate,82
2021,8,2,6,High,8
2020,3,3,15,Moderate,38
2017,10,5,12,Moderate,21
2017,3,3,17,High,12
